text,label
На первом курсе я устроился работать по профессии ссудовым агентом в компании umf Агент  Мы агентировали ссуда в форту санкт петербурга и не только,process
Я бы хотел привести примеры  как я за не такое долгое время улучшил работу в данной компании  Я автоматизировал пояс опасных грузов  я автоматизировал грузовой план,result
Там я смогла полноценно поработать с программой 1С и многими другими  а сейчас я дополнительно углублённые изучаю английский язык и начала самостоятельно изучать SQL,process
Информационные технологии интересовали меня ещё и в школе когда я училась в информационно математическом классе  потом на первом втором курсе я изучала информатику  а на третьем курсе у меня появились такие дисциплины  как математические методы моделирования  эконометрика,process
Я поняла что с помощью информационных технологий я могу анализировать большие данные  статистические данные  делать различные прогнозы  выводы и с помощью моего исследования я могу заниматься решением различных бизнес задач и кейсов,process
Также я работала в компании PricewaterhouseCooper's Консультирование в департаменте налогового бухгалтерского учёта  где я подготавливала отчётность бухгалтерскую  внутреннюю отчётность  создавала платёжные поручения  выполняла различные бизнес задачи,process
Но и до этого я работал копирайтером в малых организациях и стартапах  Например я писал парауправленческий учёт  а также писал про финансовое инвестирование,process
До того как прийти к своему выбору я перепробовал многое  Например я участвовал в аттестационной программе от сбера с проектом детского научного подкаста  В проекте занимал роль project Manager а,process
с этим же проектом Я получил одноимённую корочку ТПО ИТМО,result
Помимо этого  что касается моих проектов  с 2016 по 2021 я вёл проект по созданию визуального контента одежды и ювелирных изделий  а сейчас я просто занимаюсь копирайтингом  пишу свои посты и иногда подрабатываю  пока обучаюсь магистратуре,process
Также я помогал в открытии ИП своей матери женский трикотаж   это магазин в ТРК Гулливер на станции метро Старая деревня  В мои задачи как раз входил  выбор ТРК  дизайн торговой точки  согласование рекламной вывески  создание рекламного ролика  Как раз созданием рекламного ролика я полностью занимался сам  то есть от съёмки в качестве фотографа до видеомонтажа  поэтому в программах adobe я очень хорошо а разбираюсь,process
В данный момент благодаря университету я имею возможность работать над своим собственным стартапом в качестве priduct менеджера,process
Мы разрабатываем умное зеркало  то есть главная задача нашего стартапа   это как раз оптимизация процесса выбора подходящей одежды,process
Мы хотим разработать умное зеркало  то есть главная задача нашего стартапа   это как раз оптимизация процесса выбора подходящей одежды,result
Также я работал в Глобусе в течение 7 месяцев   это вторая компания в России по мобильной разработке  вел собственно проекты до пяти человек по созданию сайтов ну и других,process
Вот и собственно в данный момент я нахожусь в поиске работы как разработчик на уровне Junior плюс или Middle минус,process
Там я выстроил систему аналитики в сферах показателей продаж и конечных затрат  оптимизировал бизнес процессы  организовал маркетинговый кластер для компании  провёл от 20 и более тендерных контрактов,result
Также около полутора лет был главой департамента внешнего консалтинга в общественной патриотической организации  Там я руководил командой из четырёх человек  занимался анализом данных  делал презентации  занимался поиском информации,process
Из достижений также ещё хочу отметить то  что мы вошли в топ 15 в последнем Moscow Cup,result
Был 2 года подряд получателем стипендии и лауреатом конкурса топ 50 студентов,result
Организовал два проекта москультуры,result
Занимаося организацией два проекта москультуры,process
Стал чемпионом  Помимо этого выигрывал внутривузовскую олимпиаду по сопромату и вместе с командой айтишников получил грант на Студенческом стартапе,result
Очень хочу поучаствовать в хакатоне и буду ждать вашего звонка,process
То есть что такое ориентировка на хороший результат я хорошо знаю,result
Я хочу попасть в ваш проект,result
Я хочу поучаствовать в вашем проект,process
Мне понравилось и я намерен дальше развиваться в данном направлении,process
Я с пяти лет занимаюсь спортом   плаванием  и получил звание кандидата в мастера спорта,result
Я с пяти лет занимаюсь спортом   плаванием  и имею звание кандидата в мастера спорта,result
Коммуникабелен  работал на петербургском международным экономическом форуме  что дало мне знание и понимание важности работы в команде,result
Коммуникабелен  работал на петербургском международным экономическом форуме,process
Обладаю сертификатами Базальт СПО системное администрирование и Cisco администрирование сетей,result
Занял призовое место в категории кибербезопасности,result
Имею сертификат о прохождении интенсива по машинному обучению,result
Прошел интенсива по машинному обучению,process
Принимал участие в летнем студенческом цехе от росатом,process
Мне посчастливилось поучаствовать в практиках от компании ПАО Газпром,process
Мы анализировали его,process
Мы уже анализировали предложение и внедрение  технологическое оснащение умных городов и выдвигали релевантное предложение Для внедрения в экосистему компании,process
От хакатона я жду встречи и взаимодействия со студентами и молодыми специалистами,process
От хакатона я жду повышения своей профессиональной компетенции,result
Я интересуюсь анализом  моделированием бизнес процессов  корпоративными информационными системами  проектными менеджментом,process
Я занималась внедрением SCP transportation менеджмента  Также я имею опыт работы в техподдержке решений SAP,process
Также я занималась в sppcloud academy и вошла в двадцатку лучших студентов в числе 1 000 человек по всему СНГ,result
Также я занималась в sppcloud academy,process
Я занималась в университете стартапами  Это геймификация изучения английского языка   первый стартап  а второй   применение технологии искусственного интеллекта в обучении английскому языку,process
Также я интересуюсь сферой машинного обучения,process
Я имею публикацию vacrings в журнале  научную статью  где я рассмотрела рынок искусственного интеллекта,result
Изучал языки c++ и python  математические основы программирования  базы данных  защиту информации  историю развития электронно вычислительных машин  проектирование автоматизированных систем обработки информации и управления  Также изучал Frontend разработку и писал простеньких ботов для Telegram на языке python,process
На данный момент являюсь студентом первого курса магистратуры Тюменского Государственного университета по направлению разработка интеллектуальных систем,process
Увидел информацию о проведении хакатона и понял  что был бы очень рад в нём поучаствовать,process
Я участвовала в различных кейс чемпионатах от LorealЗaris  от лидеркап  И также я работала на Октябрьском электровагоноремонтном заводе  где была секретарём,process
Также я писала дипломную работу со своим научным руководителем посвящённым Project management у и проходила практику в малом бизнесе как it компания,process
Также я написала дипломную работу со своим научным руководителем посвящённым Project management у и прошла практику в малом бизнесе как it компания,result
И теперь я хочу попасть в более крупную компанию  получить опыт и наконец таки стать менеджером и попробовать себя в бизнес аналитики  И надеюсь что у меня всё получится,result
В прошлом году я стажировался в компании SIP в отделе информационной безопасности,process
Я успешно защитил несколько курсовых работ по базам данных  курсовую по кибербезопасности и две практики в университете,result
Сейчас пишу ещё две курсовые работы  одну по базе данных и одну по анализу данных цифрового следа,process
До поступления в университет я участвовал в соревнованиях по информационной безопасности,process
До поступления в университет я участвовал в соревнованиях по информационной безопасности и занимал призовые места со своей командой,result
Помимо этого я увлекаюсь музыкой  дизайном  занимаюсь фото и видео аудиомонтажом,process
Было бы очень интересно и полезно получить новые навыки в данной сфере  потому что мне интересно и скорее всего она станет моей профессиональной деятельностью по выпуску из университета,result
Прошел практику в секторе синтеза и репродукции цвета  Сейчас там же и работаю,process
Имею публикацию по итогам конференции Tess  также имею публикацию по итогам конференции ТНТ на базе Самарского государственного института,result
Также занимал призовое место в хакатоне цифровой прорыв,result
Я была участником научной конференции  где поднимала вопрос о роли цифровых двойников логистики,process
Рассматривала примеры наукоёмких технологий в частности рассматривала цифровые логистические пространства  которые используются в Газпроме,process
Также участвовала в инженерном чемпионате СaseIn  то есть имею некий опыт решения кейсов нефтегазовой отрасли конкретно,process
А на данный момент я больше углубилась в аналитику  в частности предиктивные модели  как ими пользоваться в логистике  будут ли они полезны и смогут ли они предсказать нестабильную экономическую ситуацию,process
В командах чаще всего я занимаю позицию лидера  я занимаюсь этим с удовольствием,process
В любом случае всегда выходит весело и интересно  очень продуктивно,result
Я бы очень хотела поработать с другими участниками и очень хотелось бы попробовать свои силы,process
Уже как с июня занимаюсь машинным переводом нейросетевым и улучшаю качество машину перевода,process
За лето набирал опыта в машинном обучении в целом и вот в NLP,process
Начал изучать по GitHub н ШАДа NLP лекции  пытался проходить на стажировки,process
Пытался проходить в Контур  в Райффайзенбанк  альфа банк пытался  но пока не пошло  Не хватает пока что опыта в данный момент,process
Участвовал в лентонском хакатоне  участвовал в хакатоне от Wildberries,process
Стажировался в центральном офисе компании Лента  где в рамках проектного офиса мы производили первичный анализ бизнес процессов компании,process
Кроме того можно сказать  что я развиваюсь в этом направлении с точки зрения академической,process
Кроме того можно сказать  что я развиваюсь в этом направлении с точки зрения академической и имею достаточно неплохие успехи,result
"Например я в прошлом учебном году участвовал в Студенческой Олимпиаде ""Я профессионал»  ",process
По направлению бизнеса информатика  которая включает в себя анализ бизнес процессов и системный анализ  занял достаточно хорошие позиции  которые позволили мне участвовать в полуфинале и лишь немного мне не хватило  чтобы попасть в финал,result
Помимо этого развиваюсь также в иных направлениях  таких как управление командой и управление командой разработчиков в отдельности,process
Большое достижение лично для меня  что я поступила на бюджет,result
Я очень люблю читать  очень люблю гулять и очень люблю своих друзей  свою семью,process
Я очень хочу попасть на этот хакатон  потому что мне очень хочется развивать себя в области информационной безопасности и всего  что входит вообще в область информационных технологий,process
Я очень хочу туда попасть  чтобы узнать для себя много нового  приобрести полезный опыт,process
Я очень хочу туда попасть  чтобы достичь хороших результатов,result
Около 2 лет назад я в составе команды из четырёх человек разработал проект благоустройства набережной улицы в городе Пикалёво  Ленинградская область,process
У нас проходил архитектурный хакатон среди около 20 команд и мы со своим проектом заняли там второе место,result
Следующей моей победой я считаю разработку совместно с университетом ИТМО в ковидный год онлайн курс по ценообразованию в Bim,result
Мы там разбирали сметное дело и возможности его применения в информационной модели revit,process
Следующим и наверное главным моим достижением я считаю разработку полноценной аналитической программы  которая способна анализировать проектную смертную документацию на её полноту и самое главное выявлять ошибки в смертной документации,result
В данный момент также я активно интересуюсь 3D моделированием  делаю модели в таких программах как Blender и Fusion360,process
Из моих последних достижений могу отметить Победу в кейс чемпионате кубок ректора и также я был финалистом в кейс чемпионате имени Петра Великого,result
Я одержал победу в кейс чемпионате организованном компанией Сахалин Energy,result
По результатам данного чемпионата я прошёл отбор на стажировку в компании Сахалина Energy,result
Также я занял третье место в кейс чемпионате  организованном компанией Газпромнефть Шельф в рамках образовательного проекта энергетики,result
В Горном университете я занимаюсь научной деятельностью занимаюсь моделированием гидроразрыва пласта,process
У меня есть несколько статей по данной тематике  а также дважды я занимал второе место в конференции,result
Также в Горном университете состою в активе сообщества Society of petroleums enginees,process
Я интересуюсь финансами  построением различных экономических и финансовых моделей,process
Я занимаюсь программированием  а также люблю заниматься саморазвитием и спортом,process
Я принимал участие в решении кейса от РЖД по размещению логистических центров,process
На том кейс чемпионате мы успеха не добились  но он дал колоссальный опыт в данной тематике,process
На том кейс чемпионате мы добились успеха,result
Исходя из полученного мной образования  тема перевозок для меня не нова и я бы очень хотел принять участие в решении задач в рамках предстоящего хакатона,process
Я бы очень хотел принять участие в решении задач в рамках предстоящего хакатона,process
С тех пор я осваиваю работу с большими данными и анализ этих данных,process
Это помогает мне применять в своей работе новые знания,process
В хакатонах участвую для того  чтобы проверить и закрепить свои знания  учиться чему то новому,process
В хакатонах участвую для того  чтобы добиться успеха,result
В хакатонах участвую для того  чтобы создать что то,result
И буквально на днях я занял первое место на прошлом хакатоне,result
Надеюсь  что я попаду на ваще мероприятие и смогу показать то  на что я способен,result
Около года назад меня очень сильно заинтересовала тема искусственного интеллекта  я начал самостоятельно изучать этот раздел программирования,process
Также с помощью онлайн курсов знакомился с алгоритмами работы с различными библиотеками и работами  такими как H2O Федот или Лама,process
Также я являюсь победителем хакатона Applied AI Challenge  участником другого трека  и участником олимпиады ИТМО по треку искусственного интеллекта,result
От этого хакатона я надеюсь получить большой опыт  новые знакомства и улучшить свои текущие навыки и способности из личных интересов,process
Я люблю проводить время с друзьями  общаться  встречаться и так далее,process
А также я профессионально играю на фортепиано,process
Я был помощником project Manager а в Digital Studio  также помогал в разработке сайтов  пропись ТЗ  встреча заказчиками  запись  конспектировки и прочие вещи,process
Я бы хотел выделить из достижений   полгода практики в Callers,result
Я помогал с учётом документации и так далее,process
Всегда отмечали мою продуктивность,result
Всегда отмечали мою высокую трудоспособность,process
Всегда отмечали мою вовлеченность,process
Всегда отмечали мою заинтересованность в процессе,process
Всегда отмечали мое трудолюбие,process
То есть курирование проектов входило в мои обязанности,process
И последнее место  где я сейчас работаю   это бизнес ассистент генерального директора  В обязанности входит анализ конкурентов  плюс если у директора есть желание развивать новое направление  допустим если он хочет производить бетон  я анализирую рынок бетона  анализирую конкурентов  анализирую сайты  прописывают ТЗ  узнаю стоимость оборудования  рассчитываю фонд оплаты труда  рассчитываю окупаемость и так далее,process
В этом сообществе мы организуем различные мероприятия  одно из них это городской хакатон истек челлендж  который проходил в Петербурге в прошлом году,process
Мы также выиграли Грант на его реализацию в следующем году,result
Кроме того  этой весной я проходил курс по нефтегазовому делу,process
Кроме того  этой весной я прошел курс по нефтегазовому делу,result
А после этого я как раз вдохновился нефтегазом и захотел приблизиться к решению актуальных вызовов в этой отрасли,result
Именно поэтому я хочу попасть на этот хакатон и победить в нём  так как именно это приблизит меня к стажировке в компании и успешному будущему,result
Участвовал хакатонах и в последнем  кстати очень классном хакатоне  меня пригласили на стажировку и сейчас я а работаю в дирекции по материально техническому обеспечению в газпромнефти и занимаюсь мобильным приложением радар для водителей,process
Интересуюсь в принципе всеми сферами компании с основным упором на цифровизацию автоматизацию и оптимизацию бизнес процессов,process
В этот раз от хакатона я жду интересный кейс и обязательно новый опыт,process
Я уже третий год работаю с сети ветеринарных центров,process
Я работала с компаниями Лента  Я работала с компаниями магнит,process
Мой путь в it технологиях только начался  я ранее хакатонах не участвовала  но мне очень интересно,process
Мне очень интересно попробовать свои навыки на практике и посмотреть  что из этого выйдет,result
Есть а навыки Project managent a в рамках практики  реальной работы в beauty индустрии  в индустрии организации мероприятий и обучающих проектах,process
Также имею опыт Project Managment а в процессе организации образовательных процессов,process
Cобрала одну из своих наиболее любимых команд,result
С командой мы ранее участвовали в конкурсе Проэнергетика от Газпром нефти и заняли как раз таки первое место,result
С командой мы ранее участвовали в конкурсе Проэнергетика от Газпром нефти,process
Помимо этого сейчас изучаю я корейский,process
Я пишу книги вполне успешно,result
Я пишу книги,process
Я могу мотивировать других людей  люблю искать сильные стороны в людях  развивать их,process
Я командный игрок  но в целом могу выполнять эффективно задачи и сама,process
Красный диплом  одна из лучших студентов  староста уже шестой год  КВН щик  позитивный человек,result
Золото в олимпиаде,result
Я занял призовое место,result
Мой опыт насчитывает порядка пяти работ от статистики и макроэкономики до английского языка и международных отношений  поэтому хакатон для меня в первую очередь возможность познакомиться с классными крутыми специалистами  которые погрузят себя в ту отрасль  в которой они уже достаточно долгое время работают  расскажут тебе о каких то нюансах  каких то важных аспектах и конечно же дадут тебе обратную связь,result
И второй Аспект   это конечно же знакомство с классными  замотивированными  крутыми ребятами  которые любят брейнштормить  любят придумывают что то новое,process
По своему опыту могу сказать  что я достаточно легко вливаюсь в любые коллективы,process
Например в этом году мы с командой выиграли в Сup Russia 2022 года  хотя познакомились только на Чемпионате,result
Там мы придумывали три разных проекта для телеком  fmcg и it,process
Там мы придумали три разных проекта для телеком  fmcg и it,result
Я являюсь отличником и сдаю все экзамены и курсовые проекты на отлично,result
У меня все пятёрки с первого курса,result
Я уже участвовал в других конференциях международного уровня и Олимпиадах,process
Я являюсь призёром Олимпиад по математике и по химии  а ещё по русскому языку,result
У меня очень большой интерес к сфере it и искусственному интеллекту,process
Когда я не учусь  я занимаюсь программированием,process
Я уверен  что хакатон станет для меня хорошей возможностью развиваться и находить новые знакомства,process
У меня есть научные статьи  научные работы в области химии  в области растительного сырья,result
А в университете победитель научных конференций в рамках всероссийских научных конференций  призёр,result
В 18 лет достаточно серьёзный был результат  был создан стартап   это полноценный бизнес проект который был не просто отмечен  а он стал лучшим бизнес проктом в Калининградской области на региональном этапе,result
были те проекты которые я не подавал на различные конкурсы и Гранты  это исключительно были мои хобби,process
Я готова принести свой багаж знаний  Я уверена  что для команды я смогу принести интересные знания,result
Я являюсь участником конференций  олимпиад  пишу работы в сфере логистики в сфере таможни  а также экологии  про уничтожение товаров  про перевозку товаров  про интеллектуальную собственность,process
Экология   моя основная специализация  по которой я очень люблю развиваться,process
В прошлом году я обучалась в шанхайском таможенным колледже  обучение длилось полгода на английском языке,process
Я сдавала две сессии и Шанхае  и в России,process
Я хорошо сдала две сессии и Шанхае  и в России,result
Я не очень хорошо сдала две сессии и Шанхае  и в России,result
Я успешно сдала две сессии и Шанхае  и в России,result
И несмотря на то  что я была загружена на 150 из 100  я сдала всё на 100 баллов  на отличный результат,result
Я отличник в учёбе  я перфекционист в этом плане  Либо на отлично  либо я не берусь,result
Также я активный проектный участник  Мы работаем с командой уже давно и участвуем в различных хакатонах,process
А недавно с командой мы выиграли кейс чемпионат Газпромнефти,result
Помимо этого я выиграла с собственным проектом конкурс в рамках евразийской Молодёжной проектной школы,result
Также я выиграла конкурс имени блекцина от Института магистратуры,result
Я заняла высокое место в конкурсе,result
Я не заняла высокое место в конкурсе,result
Я занимаюсь фотографией  разработкой логотипов,process
А недавно с командой мы проиграли кейс чемпионат Газпромнефти,result
В настоящее время я активно развиваюсь в области анализа данных  обучаясь на специальности информационно аналитические системы безопасности  также изучаю Современные технологии анализа данных  применяемые методы,process
В будущем вижу себя профессионалом своего дела,result
В будущем вижу себя создателем нового продукта,result
Сейчас я работаю над созданием нового продукта,process
Из достижений я бы выделила  во первых  учёбу на отлично в университете,result
Во вторых прохождение практики в газпромнефтьгазе  где за 2 недели изучила технологии Deap Learning и научилась подбирать необходимые гиперпараметры для максимально эффективного обучения нейронной сети,result
Во вторых проходила практику в газпромнефтьгазе  где 2 недели изучала технологии Deap Learning и училась подбирать необходимые гиперпараметры для максимально эффективного обучения нейронной сети,process
Также являюсь лауреатом стипендии Правительства Российской Федерации и стипендии имени Правительства Москвы,result
Я являюсь руководителем Молодёжного экономического клуба,process
За свои 20 лет я успел поработать  на должности логиста  также успел позаниматься продажей электросамокатов  гироскутеров и прочего всего  что с этим связано,process
Не так давно проходил курсы ораторского искусства и продолжаю развиваться самостоятельно,process
Не так давно проходил курсы ораторского искусства,process
Не так давно прошел курсы ораторского искусства,result
Я руковожу Молодёжным экономическим клубом,process
В рамках этой модели у меня был рассмотрен случай нелинейной зависимости скорости химической реакции от насыщенности топлива,result
В рамках этой модели я рассматривал случай нелинейной зависимости скорости химической реакции от насыщенности топлива,process
В рамках этой модели я рассматрел случай нелинейной зависимости скорости химической реакции от насыщенности топлива,result
Проведены аналитические исследования  построены разностные схемы для численного интегрирования уравнений модели,result
Проводились аналитические исследования  построены разностные схемы для численного интегрирования уравнений модели,process
А разработанные вычислительные алгоритмы были реализованы в виде программы на языке python,result
А разработанные вычислительные алгоритмы реализовывались в виде программы на языке python,process
Проведено численное моделирование процессов внутри пластового горения при разных режимах распространения,result
Я проводил сравнение результатов аналитического исследования с результатами численного моделирования,process
Я провел сравнение результатов аналитического исследования с результатами численного моделирования,result
Я проводил численное моделирование процессов внутри пластового горения при разных режимах распространения,process
Хочу узнать про сферы продакт менеджмента машинного обучения  так как это будет тесно связано с моими стартапом,result
Я на данный момент времени хочу создать один стартап,result
Я на данный момент времени хочу заниматься создаванием одного стартапа,process
Если говорить про мой ближайший прошлый опыт  этим летом я участвовала в кейс чемпионате Проэнергетика по направлению машинное обучение,process
Если говорить про мой ближайший прошлый опыт  этим летом я участвовала в кейс чемпионате Проэнергетика по направлению машинное обучение и вместе своей командой заняла призовое место,result
Также я в университете на бакалавриате два года руководила студенческим проектом по мониторингу качества образовательной деятельности и консультировала студентов по учебным вопросам  по вопросам образования,process
Хочу узнавать про сферы продакт менеджмента машинного обучения  так как это мне интересно,process
Увлекаюсь программированием и всем  что с ним связано,process
Писал код на различных языках  C  Ruby  Java  Python  На двух последних есть наибольший опыт в использовании для разработки приложений и сервисов,process
Ещё готовлюсь к интервью для позиции в качестве Java Backend разработчика,process
Примеры моих работ есть у меня на GitHub е,result
А благодаря моим друзьям и знакомым я заинтересовался искусственным интеллектом  поэтому хочу изучить это направление для расширения собственного кругозора  ну а также для опережающего обучения  так как я в дальнейшем буду изучать машинное обучение и компьютерное зрение на своей образовательной программе магистратуры,process
До этого участвовал я только в одном хакатоне по искусственному интеллекту на базе университета ИТМО,process
Командой мы разработали проект по генерации изображения улицы санкт петербурга с применением Gan,result
Никаких серьёзных знаний в области Data Science у меня пока нет  но я стремлюсь устранить этот пробел,result
Я намерен довести работу до конца,result
Был награжден в санкт петербургском государственном университете на вручении наград имени Питера Дракера,result
Более того я стажировался с августа по сентябрь 2022 года в отделе высшей школы менеджмента по работе с выпускниками,process
Я целеустремлённый человек,result
Стала победителем в предпринимательском треке,result
У меня была стажировка в транспортной компании  где я много чему научилась новому и закрепила те знания  которые уже получила за время своей учёбы,result
А также сейчас я являюсь управляющей несколькими филиалыми  где танцуют бальные танцы маленькие дети  и занимаюсь недвижимостью,process
При этом всем я успеваю успешно совмещать свою учёбу с работой и получать новые знания,process
Я работаю в газпромнефть снабжении и мы занимаемся развитием внутреннего сервиса для облегчения взаимодействия с контрагентами,process
Хакатон Газпрома мне интересен больше наверное с точки зрения получения софт скилов в качестве работы проектным менеджером,result
Хакатон Газпрома мне интересен больше наверное потому  что я хочу поработать с какими то интересными кейсами,process
Во время учёбы в бакалавриате я участвовал в образовательных программах университета Сириуса которые как раз были направлены на внедрение новых цифровых сервисов,process
Это была небольшая конференция где мы углубились в основы эпотентоведения и создания патентных ландшафтов,result
Это была небольшая конференция где мы углублялись в основы эпотентоведения и создания патентных ландшафтов,process
Работал в Лукойл Богачёв Нефтегаз  в Газпромнефть Развитие и Газпромнефть МНПЗ,process
Во время обучения в институте я поняла  что хочу заниматься анализом данных и на протяжении уже года самостоятельно изучаю методы и технологии  позволяющие проводить этот анализ,process
Знаю Excel  Pyhton  SQL на достаточно продвинутом уровне,result
Из достижений могу выделить то  что вошла в число студентов  которые получали правительственную стипендию Москвы  а также обладаю достаточно высоким средним балом 4 89,result
Этим летом проходила практику в Газпром Информ в отделе криптографической защиты информации,process
Этим летом прошла практику в Газпром Информ в отделе криптографической защиты информации,result
Я упёртый  потому что вы видите  что 15 минут осталось практически до конца  но я всё таки решил  что нужно записать это видео,result
Второй момент  я подготовленный  у меня есть листочек  на котором я расписал свои плюсы,result
И третий момент  в первую очередь  я хочу поучаствовать  чтобы посмотреть какой кейс вы нам приготовили,process
"И про достижения вкратце  можете в поиск вбить ""Сколково магнит"" и прочитать обо мне ",result
Хотелось бы развиться и поработать ещё в других отделах  если позовёте  и порешать кейсы,process
Самое главное мое достижение   это то  что я интересуюсь тем  что вы хотите нам приготовить,result
"Я принимал участие в проекте ""кадры будущего"" для регионов и стал выпускником губернаторской школы ",process
"Я принял участие в проекте ""кадры будущего"" для регионов и стал выпускником губернаторской школы ",result
По окончанию третьего курса проходил практику по эксплуатации беспилотного летательного оборудования,process
По окончанию третьего курса прошел практику по эксплуатации беспилотного летательного оборудования,result
